Country,population
China,1360720000
India,1241100000
United States,317638000
Indonesia,249866000
Brazil,201032714
Pakistan,185805000
Nigeria,173615000
Bangladesh,152518015
Russia,143700000
Japan,127180000
Mexico,118395054
Philippines,99216300
Vietnam,89708900
Ethiopia,86613986
Egypt,86059700
Germany,80619000
Iran,77259000
Turkey,76667864
Democratic Republic of the Congo,67514000
Thailand,65926261
France,65844000
United Kingdom,63705000
Italy,59943933
Burma,53259000
South Africa,52981991
South Korea,50219669
Colombia,47488000
Spain,46609700
Ukraine,45426200
Tanzania,44928923
Kenya,44354000
Argentina,41660096
Algeria,38700000
Poland,38502396
Sudan,37964000
Uganda,35357000
Canada,35295770
Iraq,34035000
Morocco,33190600
Peru,30475144
Uzbekistan,30183400
Malaysia,30025000
Saudi Arabia,29994272
Venezuela,28946101
Nepal,26494504
Afghanistan,25500100
Yemen,25235000
North Korea,24895000
Ghana,24658823
Mozambique,23700715
Australia,23401428
Taiwan,23377515
Ivory Coast,23202000
Syria,21898000
Madagascar,21263403
Angola,20609294
Cameroon,20386799
Sri Lanka,20277597
Romania,20121641
Burkina Faso,17322796
Kazakhstan,17165000
Niger,17129076
Netherlands,16840500
Malawi,16363000
Chile,16341929
Ecuador,15690800
Guatemala,15438384
Mali,15302000
Cambodia,15135000
Zambia,14580290
Senegal,13567338
Zimbabwe,12973808
Chad,12825000
South Sudan,11296000
Cuba,11167325
Belgium,11132269
Tunisia,10886500
Guinea,10824200
Greece,10815197
Rwanda,10537222
Czech Republic,10513800
Somalia,10496000
Portugal,10487289
Haiti,10413211
Benin,10323000
Burundi,10163000
Bolivia,10027254
Hungary,9906000
Sweden,9644864
Azerbaijan,9477100
Belarus,9468100
Dominican Republic,9445281
Honduras,8555072
Austria,8504850
United Arab Emirates,8264070
Tajikistan,8160000
Israel,8146300
Switzerland,8112200
Papua New Guinea,7398500
Bulgaria,7282041
Hong Kong (China),7184000
Serbia,7181505
Paraguay,6783374
Laos,6580800
Jordan,6554300
El Salvador,6340000
Eritrea,6333000
Libya,6202000
Togo,6191155
Sierra Leone,6190280
Nicaragua,6071045
Kyrgyzstan,5663133
Denmark,5627235
Finland,5452821
Slovakia,5415459
Singapore,5399200
Turkmenistan,5240000
Norway,5109056
Lebanon,4822000
Costa Rica,4667096
Central African Republic,4616000
Ireland,4593100
New Zealand,4516080
Georgia,4483800
Republic of the Congo,4448000
Palestine,4420549
Liberia,4294000
Croatia,4290612
Oman,3957000
Bosnia and Herzegovina,3791622
Puerto Rico (USA),3615086
Moldova,3559500
Mauritania,3461041
Panama,3405813
Uruguay,3286314
Kuwait,3065850
Armenia,3017000
Lithuania,2941953
Albania,2821977
Mongolia,2931300
Jamaica,2711476
Namibia,2113077
Lesotho,2074000
Macedonia,2062294
Slovenia,2061831
Qatar,2045239
Botswana,2024904
Latvia,2005200
Gambia,1849000
Kosovo,1815606
Guinea-Bissau,1704000
Gabon,1672000
Equatorial Guinea,1622000
Trinidad and Tobago,1328019
Estonia,1311870
Mauritius,1257900
Swaziland,1250000
Bahrain,1234571
Timor-Leste,1066409
Djibouti,873000
Cyprus,865878
Fiji,858038
Réunion (France),840974
Guyana,784894
Bhutan,744770
Comoros,743798
Montenegro,620029
Macau (China),598200
Solomon Islands,581344
Western Sahara,567000
Luxembourg,537000
Suriname,534189
Cape Verde,491875
Malta,416055
Guadeloupe (France),405739
Martinique (France),392291
Brunei,393162
Bahamas,351461
Belize,349728
Iceland,325671
Maldives,317280
Northern Cyprus,294906
Barbados,285000
French Polynesia (France),268270
Vanuatu,264652
New Caledonia (France),258958
French Guiana (France),237549
Mayotte (France),212645
Samoa,187820
São Tomé and Príncipe,187356
Saint Lucia,180000
Guam (USA),159358
Curaçao (Netherlands),150563
Saint Vincent and the Grenadines,109000
Kiribati,106461
United States Virgin Islands (USA),106405
Grenada,103328
Tonga,103036
Aruba (Netherlands),101484
Federated States of Micronesia,101351
Jersey (UK),99000
Seychelles,90945
Antigua and Barbuda,86295
Isle of Man (UK),84497
Andorra,76098
Dominica,71293
Bermuda (UK),64237
Guernsey (UK),63085
Greenland (Denmark),56483
Marshall Islands,56086
American Samoa (USA),55519
Cayman Islands (UK),55456
Saint Kitts and Nevis,54000
Northern Mariana Islands (USA),53883
Faroe Islands (Denmark),48244
Sint Maarten (Netherlands),37429
Saint Martin (France),36979
Liechtenstein,36942
Monaco,36136
San Marino,33540
